phase8d_rank,hypothesis_id,instrument,timeframe,side,family,setup_description,decision_time_requirements,expected_trade_frequency,expected_cost_sensitivity,lookahead_risk,ambiguity_risk,implementation_cost,scout_priority,reason_to_try,kill_condition
47,MNQ_prior_high_low_rejection_tf3_both_8873ded9,MNQ,3,both,prior_high_low_rejection,Fade sweeps of prior-session high/low after rejection confirmation.,prior levels known plus rejection close,high,low,medium,high,low,109.0,Diversifies away from the current MGC single-family grind via MNQ both 3m prior_high_low_rejection.,reject if one-day concentration or ambiguity remains high
48,MNQ_vwap_pullback_continuation_tf5_both_0af3fd47,MNQ,5,both,vwap_pullback_continuation,Trade with VWAP trend after a shallow pullback and continuation close.,VWAP slope/pullback known at signal close,high,low,medium,medium,high,108.0,Diversifies away from the current MGC single-family grind via MNQ both 5m vwap_pullback_continuation.,reject if old MGC failure modes repeat without filter improvement
49,MNQ_first_pullback_trend_continuation_tf5_both_a64f10e1,MNQ,5,both,first_pullback_trend_continuation,Trade first pullback after session trend is established.,trend and pullback state from closed bars only,high,low,low,medium,high,108.0,Diversifies away from the current MGC single-family grind via MNQ both 5m first_pullback_trend_continuation.,reject if event detection requires discretionary labeling
50,MNQ_opening_drive_continuation_tf1_long_only_9d964c36,MNQ,1,long_only,opening_drive_continuation,Follow strong opening drive continuation after a bounded drive window.,drive window completed before signal,medium,medium,medium,high,high,107.0,Diversifies away from the current MGC single-family grind via MNQ long_only 1m opening_drive_continuation.,reject if drawdown path breaches before robust payout case
51,MNQ_overnight_range_breakout_fade_tf5_both_d7369d00,MNQ,5,both,overnight_range_breakout_fade,Trade breakout or fade around overnight high/low/midpoint levels.,overnight range finalized before RTH open,low,low,low,high,high,107.0,Diversifies away from the current MGC single-family grind via MNQ both 5m overnight_range_breakout_fade.,reject if overnight data quality or session handling is ambiguous
52,MGC_time_of_day_momentum_reversion_tf3_both_df4b3cdf,MGC,3,both,time_of_day_momentum_reversion,Trade time-window-specific momentum or mean-reversion behavior.,fixed clock window and closed bar only,high,medium,low,medium,medium,107.0,Diversifies away from the current MGC single-family grind via MGC both 3m time_of_day_momentum_reversion.,reject if edge vanishes outside one narrow sample window
53,MGC_overnight_range_breakout_fade_tf5_long_only_9a15b9d7,MGC,5,long_only,overnight_range_breakout_fade,Trade breakout or fade around overnight high/low/midpoint levels.,overnight range finalized before RTH open,low,medium,low,high,high,106.0,Diversifies away from the current MGC single-family grind via MGC long_only 5m overnight_range_breakout_fade.,reject if overnight data quality or session handling is ambiguous
54,MGC_overnight_range_breakout_fade_tf5_short_only_3c6fcc9b,MGC,5,short_only,overnight_range_breakout_fade,Trade breakout or fade around overnight high/low/midpoint levels.,overnight range finalized before RTH open,low,medium,low,high,high,106.0,Diversifies away from the current MGC single-family grind via MGC short_only 5m overnight_range_breakout_fade.,reject if overnight data quality or session handling is ambiguous
55,MGC_opening_range_breakout_tf1_long_only_fecd7625,MGC,1,long_only,opening_range_breakout,Break away from the completed opening range after confirmation.,opening range completed plus signal bar close,medium,high,medium,high,low,104.0,Diversifies away from the current MGC single-family grind via MGC long_only 1m opening_range_breakout.,reject if cost stress or concentration dominates
56,MGC_opening_range_breakout_tf1_short_only_f3ba4449,MGC,1,short_only,opening_range_breakout,Break away from the completed opening range after confirmation.,opening range completed plus signal bar close,medium,high,medium,high,low,104.0,Diversifies away from the current MGC single-family grind via MGC short_only 1m opening_range_breakout.,reject if cost stress or concentration dominates
57,MGC_vwap_reclaim_rejection_tf1_long_only_8ac48962,MGC,1,long_only,vwap_reclaim_rejection,Trade reclaim/rejection around intraday VWAP after bar close confirmation.,current-session VWAP and closed signal bar,medium,high,low,high,low,104.0,Diversifies away from the current MGC single-family grind via MGC long_only 1m vwap_reclaim_rejection.,reject if it fires in nearly every session without quality filters
58,MGC_vwap_reclaim_rejection_tf1_short_only_2def9da4,MGC,1,short_only,vwap_reclaim_rejection,Trade reclaim/rejection around intraday VWAP after bar close confirmation.,current-session VWAP and closed signal bar,medium,high,low,high,low,104.0,Diversifies away from the current MGC single-family grind via MGC short_only 1m vwap_reclaim_rejection.,reject if it fires in nearly every session without quality filters
59,MNQ_opening_range_fade_tf3_both_6a42f544,MNQ,3,both,opening_range_fade,Fade failed opening-range extensions after price closes back inside the range.,opening range completed plus failed-break close,high,medium,medium,high,low,103.0,Diversifies away from the current MGC single-family grind via MNQ both 3m opening_range_fade.,reject if same-bar ambiguity or holdout weakness dominates
60,MGC_prior_high_low_rejection_tf3_both_52d210e2,MGC,3,both,prior_high_low_rejection,Fade sweeps of prior-session high/low after rejection confirmation.,prior levels known plus rejection close,high,medium,medium,high,low,100.0,Diversifies away from the current MGC single-family grind via MGC both 3m prior_high_low_rejection.,reject if one-day concentration or ambiguity remains high
