signal_key,phase,candidate_id,cluster_id,cluster_representative,candidate_action,deprioritization_reason,currently_in_scheduler_c_universe,validation_pnl,holdout_pnl,stress_pnl,best_day_concentration,best_trade_concentration,average_correlation,overlap_rate,scheduler_b_accepted_net_pnl,scheduler_c_accepted_net_pnl,weak_fold_harm,portfolio_role,signal_evidence_status,tradability_status,plain_english_rule
phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,phase12a,MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,,,park_do_not_schedule,not in current Scheduler C universe or parked module without representative role,False,313.11,51.38,715.81,0.291096,0.291096,0.0,0.0,0.0,0.0,0.0,rare_setup_module,positive_research_signal,not_tradable_low_activity,MNQ opening-drive first-pullback continuation using unchanged Phase 12A rules.
phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_resume_close_fill_next_open_hard_stop_time_exit,phase12a,MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_resume_close_fill_next_open_hard_stop_time_exit,,,park_do_not_schedule,not in current Scheduler C universe or parked module without representative role,False,315.08,131.9,166.86,0.884089,0.884089,0.0,0.0,0.0,0.0,0.0,rare_setup_module,positive_research_signal,not_tradable_low_activity,MNQ opening-drive first-pullback continuation using unchanged Phase 12A rules.
phase12a::MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_structure_target_time_exit,phase12a,MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_structure_target_time_exit,,,park_do_not_schedule,not in current Scheduler C universe or parked module without representative role,False,131.0,162.33,338.96,0.387436,0.387436,0.0,0.0,0.0,0.0,0.0,rare_setup_module,positive_research_signal,not_tradable_low_activity,MNQ opening-drive first-pullback continuation using unchanged Phase 12A rules.
phase12a::MNQ_12a_odpullback_long_first_pullback_OD30_ema20_retest_two_bar_resume_fill_next_open_structure_target_time_exit,phase12a,MNQ_12a_odpullback_long_first_pullback_OD30_ema20_retest_two_bar_resume_fill_next_open_structure_target_time_exit,,,park_do_not_schedule,not in current Scheduler C universe or parked module without representative role,False,139.04,123.22,212.42,0.782514,0.782514,0.0,0.0,0.0,0.0,0.0,rare_setup_module,positive_research_signal,not_tradable_low_activity,MNQ opening-drive first-pullback continuation using unchanged Phase 12A rules.
phase12a::MNQ_12a_odpullback_short_first_pullback_OD30_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,phase12a,MNQ_12a_odpullback_short_first_pullback_OD30_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,,,park_do_not_schedule,not in current Scheduler C universe or parked module without representative role,False,92.84,200.26,429.97,0.819076,0.819076,0.0,0.0,0.0,0.0,0.0,rare_setup_module,positive_research_signal,not_tradable_low_activity,MNQ opening-drive first-pullback continuation using unchanged Phase 12A rules.
phase12a::MNQ_12a_odpullback_short_first_pullback_OD30_drive_boundary_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,phase12a,MNQ_12a_odpullback_short_first_pullback_OD30_drive_boundary_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,,,park_do_not_schedule,not in current Scheduler C universe or parked module without representative role,False,360.32,45.76,33.32,5.31152,5.31152,0.0,0.0,0.0,0.0,0.0,rare_setup_module,positive_research_signal,not_tradable_low_activity,MNQ opening-drive first-pullback continuation using unchanged Phase 12A rules.
phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt1,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt1,cluster_01,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1,deprioritize_redundant,non-representative member of deterministic redundancy cluster,True,117.16,920.64,2643.48,0.331722,0.331722,0.390829,1.0,-3657.38,-1856.83,0.0,parked_module,real_but_nontradable_signal,not_tradable_concentrated,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.
phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt2,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_all_touches_mt2,cluster_01,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1,deprioritize_redundant,non-representative member of deterministic redundancy cluster,True,117.16,920.64,2643.48,0.331722,0.331722,0.390829,1.0,-10583.36,-5291.68,0.0,parked_module,real_but_nontradable_signal,not_tradable_concentrated,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.
phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_first_touch_only_mt1,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_first_touch_only_mt1,cluster_01,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1,deprioritize_redundant,non-representative member of deterministic redundancy cluster,True,122.9,835.1,1538.56,0.287686,0.287686,0.352077,0.871429,-2879.43,-3395.24,-502.31,parked_module,positive_research_signal,not_tradable_concentrated,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.
phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_first_touch_only_mt2,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_all_gaps_first_touch_only_mt2,cluster_01,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1,deprioritize_redundant,non-representative member of deterministic redundancy cluster,True,122.9,835.1,1538.56,0.287686,0.287686,0.352077,1.0,-7128.16,-3564.08,0.0,parked_module,positive_research_signal,not_tradable_concentrated,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.
phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt1,cluster_01,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1,deprioritize_redundant,non-representative member of deterministic redundancy cluster,True,334.4,811.84,2877.14,0.306503,0.306503,0.387654,0.987179,2328.57,699.82,-5.24,parked_module,real_but_nontradable_signal,not_tradable_concentrated,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.
phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt2,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_all_touches_mt2,cluster_01,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1,deprioritize_redundant,non-representative member of deterministic redundancy cluster,True,334.4,811.84,2877.14,0.306503,0.306503,0.387654,1.0,-7891.84,-3945.92,0.0,parked_module,real_but_nontradable_signal,not_tradable_concentrated,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.
phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt2,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt2,cluster_01,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1,deprioritize_redundant,non-representative member of deterministic redundancy cluster,True,340.14,692.56,1737.48,0.257163,0.257163,0.355907,1.0,-4706.56,-2353.28,0.0,parked_module,real_but_nontradable_signal,not_tradable_concentrated,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.
phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1,cluster_01,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_widest_20_all_gaps_first_touch_only_mt1,keep_representative,selected as deterministic representative for redundancy cluster,True,340.14,692.56,1737.48,0.257163,0.257163,0.355907,1.0,-907.84,3552.91,0.0,parked_module,real_but_nontradable_signal,not_tradable_concentrated,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.
phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt1,cluster_02,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt1,deprioritize_redundant,non-representative member of deterministic redundancy cluster,True,117.16,920.64,2226.53,0.395092,0.395092,0.394943,1.0,-8667.84,-4333.92,0.0,parked_module,real_but_nontradable_signal,not_tradable_concentrated,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.
phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt2,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_all_touches_mt2,cluster_02,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt1,deprioritize_redundant,non-representative member of deterministic redundancy cluster,True,117.16,920.64,2226.53,0.395092,0.395092,0.394943,1.0,-8667.84,-4333.92,0.0,parked_module,real_but_nontradable_signal,not_tradable_concentrated,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.
phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt1,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt1,cluster_02,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt1,deprioritize_redundant,non-representative member of deterministic redundancy cluster,False,122.9,835.1,1698.41,0.264071,0.264071,0.0,0.0,0.0,0.0,0.0,parked_module,positive_research_signal,not_tradable_low_activity,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.
phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt2,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_exclude_narrowest_20_all_gaps_first_touch_only_mt2,cluster_02,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt1,deprioritize_redundant,non-representative member of deterministic redundancy cluster,False,122.9,835.1,1698.41,0.264071,0.264071,0.0,0.0,0.0,0.0,0.0,parked_module,positive_research_signal,not_tradable_low_activity,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.
phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt1,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt1,cluster_02,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt1,deprioritize_redundant,non-representative member of deterministic redundancy cluster,True,334.4,811.84,2460.19,0.35983,0.35983,0.394166,1.0,-3136.4,-2988.16,0.0,parked_module,real_but_nontradable_signal,not_tradable_low_activity,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.
phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt2,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_all_touches_mt2,cluster_02,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt1,deprioritize_redundant,non-representative member of deterministic redundancy cluster,True,334.4,811.84,2460.19,0.35983,0.35983,0.394166,1.0,-5976.32,-2988.16,0.0,parked_module,real_but_nontradable_signal,not_tradable_low_activity,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.
phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt2,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt2,cluster_02,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt1,deprioritize_redundant,non-representative member of deterministic redundancy cluster,False,340.14,692.56,1897.33,0.238127,0.238127,0.0,0.0,0.0,0.0,0.0,parked_module,real_but_nontradable_signal,not_tradable_low_activity,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.
phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt1,phase10b,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt1,cluster_02,phase10b::MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_middle_60_only_all_gaps_first_touch_only_mt1,keep_representative,selected as deterministic representative for redundancy cluster,False,340.14,692.56,1897.33,0.238127,0.238127,0.0,0.0,0.0,0.0,0.0,parked_module,real_but_nontradable_signal,not_tradable_low_activity,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.
phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf15_opening_response_all_ranges_all_gaps_all_touches_mt1,phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf15_opening_response_all_ranges_all_gaps_all_touches_mt1,cluster_03,phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf15_opening_response_all_ranges_all_gaps_all_touches_mt2,deprioritize_redundant,non-representative member of deterministic redundancy cluster,True,729.27,912.14,898.7,0.574673,0.574673,0.181375,0.943662,-9846.32,-5830.6,-78.48,parked_module,real_but_nontradable_signal,not_tradable_concentrated,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.
phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf15_opening_response_all_ranges_all_gaps_all_touches_mt2,phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf15_opening_response_all_ranges_all_gaps_all_touches_mt2,cluster_03,phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf15_opening_response_all_ranges_all_gaps_all_touches_mt2,keep_representative,selected as deterministic representative for redundancy cluster,True,729.27,912.14,898.7,0.574673,0.574673,0.181375,1.0,-7311.36,-3655.68,0.0,parked_module,real_but_nontradable_signal,not_tradable_concentrated,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.
phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf15_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt2,phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf15_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt2,cluster_04,phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf15_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1,deprioritize_redundant,non-representative member of deterministic redundancy cluster,False,534.01,749.88,947.36,0.559296,0.559296,0.0,0.0,0.0,0.0,0.0,parked_module,positive_research_signal,not_tradable_low_activity,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.
phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf15_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1,phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf15_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1,cluster_04,phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf15_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1,keep_representative,selected as deterministic representative for redundancy cluster,False,534.01,749.88,947.36,0.559296,0.559296,0.0,0.0,0.0,0.0,0.0,parked_module,positive_research_signal,not_tradable_low_activity,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.
phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_all_ranges_all_gaps_all_touches_mt2,phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_all_ranges_all_gaps_all_touches_mt2,cluster_05,phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_all_ranges_all_gaps_all_touches_mt1,deprioritize_redundant,non-representative member of deterministic redundancy cluster,True,764.92,2095.74,917.57,0.57985,0.57985,0.184966,1.0,-8786.4,-4393.2,0.0,parked_module,real_but_nontradable_signal,not_tradable_concentrated,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.
phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_all_ranges_all_gaps_all_touches_mt1,phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_all_ranges_all_gaps_all_touches_mt1,cluster_05,phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_all_ranges_all_gaps_all_touches_mt1,keep_representative,selected as deterministic representative for redundancy cluster,True,764.92,2095.74,917.57,0.57985,0.57985,0.184966,0.619048,13816.36,6516.72,-450.76,parked_module,real_but_nontradable_signal,not_tradable_concentrated,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.
phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt2,phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt2,cluster_06,phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1,deprioritize_redundant,non-representative member of deterministic redundancy cluster,False,644.66,2011.98,1587.5,0.353368,0.353368,0.0,0.0,0.0,0.0,0.0,parked_module,positive_research_signal,not_tradable_low_activity,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.
phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1,phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1,cluster_06,phase10b::MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1,keep_representative,selected as deterministic representative for redundancy cluster,False,644.66,2011.98,1587.5,0.353368,0.353368,0.0,0.0,0.0,0.0,0.0,parked_module,positive_research_signal,not_tradable_low_activity,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.
phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit,phase13a,MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit,cluster_20,phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_structure_target_time_exit,deprioritize_redundant,non-representative member of deterministic redundancy cluster,True,1407.83,100.29,756.0,0.343299,0.343299,0.107857,1.0,2821.19,4541.56,0.0,diversifier_module,positive_research_signal,not_tradable_concentrated,"Long breakout above prior RTH high after close confirmation, filled at next bar open."
phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_structure_target_time_exit,phase13a,MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_structure_target_time_exit,cluster_20,phase13a::MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_structure_target_time_exit,keep_representative,selected as deterministic representative for redundancy cluster,True,1407.83,69.79,760.0,0.341744,0.341744,0.10785,0.658537,5159.31,-581.2,-40.47,diversifier_module,positive_research_signal,not_tradable_concentrated,"Long breakout above prior RTH high after close confirmation, filled at next bar open."
phase15a::MNQ_15a_power_hour_continuation_long_power_range_edge_retest_resume_close_confirm_fill_next_open_hard_stop_time_exit,phase15a,MNQ_15a_power_hour_continuation_long_power_range_edge_retest_resume_close_confirm_fill_next_open_hard_stop_time_exit,cluster_23,phase15a::MNQ_15a_power_hour_continuation_long_power_range_breakout_continuation_close_confirm_fill_next_open_hard_stop_time_exit,deprioritize_redundant,non-representative member of deterministic redundancy cluster,True,94.55,312.84,100.0,2.575067,2.575067,0.071031,1.0,-2367.2,-1183.6,0.0,diversifier_module,positive_research_signal,not_tradable_low_activity,"On a qualified power-hour continuation day, trade the late range continuation after close confirmation, filled at next bar open."
